20,
20,
81,45,-53,76,-5,-91,-80,36,67,47,17,-89,64,24,-9,-39,-47,78,-96,-10,
18,38,24,15,48,60,89,98,-33,-9,-80,-14,-60,-59,-59,51,-90,-54,-89,-59,
-16,73,36,-80,55,28,25,19,50,-87,-45,33,5,35,17,48,-50,-38,-54,-34,
29,48,0,91,-35,33,-89,63,5,-14,-89,-17,-13,-86,-18,7,38,-24,75,76,
13,-1,51,77,-43,51,56,77,60,-97,-59,70,71,51,-41,-27,-39,31,40,-89,
31,-91,11,26,65,-44,54,-86,-78,86,36,-2,-34,-61,-37,-33,86,-21,-21,-47,
-28,44,-53,-93,-35,-53,-76,14,-35,9,89,88,59,51,-8,-95,22,-71,24,95,
-65,20,71,62,42,69,35,43,-71,-23,84,-83,99,78,26,69,97,-88,95,-16,
18,-28,-33,-21,86,-29,76,75,86,97,27,68,29,95,0,-69,-2,68,-40,-70,
-65,40,-57,4,75,46,-2,32,-21,-16,-73,33,-15,72,-26,62,26,94,-21,-43,
-92,83,-26,77,61,49,-74,61,13,-44,23,-35,76,-4,-5,54,-36,-57,51,-26,
30,35,-50,-76,-49,11,-35,-87,-96,70,70,-13,-54,37,-60,30,27,84,12,-90,
73,-87,64,-35,43,-64,-51,85,34,90,-47,-41,-7,-24,-29,3,22,24,-34,-2,
74,8,-8,-9,83,57,-25,-52,23,31,98,-80,-4,45,89,39,43,-28,-19,-80,
-24,-35,34,-51,-57,-31,60,18,-83,-96,-24,77,2,53,57,-24,22,4,81,-59,
78,-16,81,-69,8,10,87,-3,1,87,-64,-25,-94,-15,-18,6,51,22,-51,97,
-25,-32,-39,4,72,-5,49,-41,86,52,53,13,-75,62,-61,-19,-35,13,4,-61,
-29,77,-67,51,-52,-87,72,75,18,-17,43,-24,-41,95,54,-71,-7,65,7,-63,
5,-58,35,56,36,36,-89,89,-65,-17,-42,70,-89,11,-55,-51,55,46,-62,3,
71,-67,25,-20,48,-98,-44,92,-17,-56,53,-85,-53,-54,-55,65,-24,-82,-97,78,
